value,date_id,facility,area,gender,key,time
16,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 0630 f,0630
20,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 0630 m,0630
10,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 0730 f,0730
14,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 0730 m,0730
14,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 0830 f,0830
14,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 0830 m,0830
12,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 0930 f,0930
9,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 0930 m,0930
18,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1030 f,1030
27,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1030 m,1030
11,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1130 f,1130
25,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1130 m,1130
11,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1230 f,1230
26,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1230 m,1230
16,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1330 f,1330
22,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1330 m,1330
14,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1430 f,1430
27,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1430 m,1430
17,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1530 f,1530
23,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1530 m,1530
27,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1630 f,1630
23,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1630 m,1630
23,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1730 f,1730
35,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1730 m,1730
19,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1830 f,1830
34,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1830 m,1830
18,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 1930 f,1930
38,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 1930 m,1930
23,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 2030 f,2030
49,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 2030 m,2030
24,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 2130 f,2130
36,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 2130 m,2130
4,2017-08-27 20:00:00-04,rec,fc,f,2017-08-28 rec fc 2230 f,2230
13,2017-08-27 20:00:00-04,rec,fc,m,2017-08-28 rec fc 2230 m,2230
1,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 0630 f,0630
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 0630 m,0630
0,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 0730 f,0730
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 0730 m,0730
0,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 0830 f,0830
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 0830 m,0830
1,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 0930 f,0930
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 0930 m,0930
2,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1030 f,1030
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1030 m,1030
3,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1130 f,1130
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1130 m,1130
4,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1230 f,1230
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1230 m,1230
3,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1330 f,1330
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1330 m,1330
1,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1430 f,1430
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1430 m,1430
4,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1530 f,1530
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1530 m,1530
1,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1630 f,1630
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1630 m,1630
0,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1730 f,1730
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1730 m,1730
0,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1830 f,1830
0,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1830 m,1830
1,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 1930 f,1930
1,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 1930 m,1930
5,2017-08-27 20:00:00-04,rec,gf,f,2017-08-28 rec gf 2030 f,2030
1,2017-08-27 20:00:00-04,rec,gf,m,2017-08-28 rec gf 2030 m,2030
