date,week,year,month,day_of_week,day_of_month
2015-12-31 19:00:00-05,26,2016,1,4,1
2016-01-01 19:00:00-05,26,2016,1,5,2
2016-01-02 19:00:00-05,26,2016,1,6,3
2016-01-03 19:00:00-05,27,2016,1,0,4
2016-01-04 19:00:00-05,27,2016,1,1,5
2016-01-05 19:00:00-05,27,2016,1,2,6
2016-01-06 19:00:00-05,27,2016,1,3,7
2016-01-07 19:00:00-05,27,2016,1,4,8
2016-01-08 19:00:00-05,27,2016,1,5,9
2016-01-09 19:00:00-05,27,2016,1,6,10
2016-01-10 19:00:00-05,28,2016,1,0,11
2016-01-11 19:00:00-05,28,2016,1,1,12
2016-01-12 19:00:00-05,28,2016,1,2,13
2016-01-13 19:00:00-05,28,2016,1,3,14
2016-01-14 19:00:00-05,28,2016,1,4,15
2016-01-15 19:00:00-05,28,2016,1,5,16
2016-01-16 19:00:00-05,28,2016,1,6,17
2016-01-17 19:00:00-05,29,2016,1,0,18
2016-01-18 19:00:00-05,29,2016,1,1,19
2016-01-19 19:00:00-05,29,2016,1,2,20
2016-01-20 19:00:00-05,29,2016,1,3,21
2016-01-21 19:00:00-05,29,2016,1,4,22
2016-01-22 19:00:00-05,29,2016,1,5,23
2016-01-23 19:00:00-05,29,2016,1,6,24
2016-01-24 19:00:00-05,30,2016,1,0,25
2016-01-25 19:00:00-05,30,2016,1,1,26
2016-01-26 19:00:00-05,30,2016,1,2,27
2016-01-27 19:00:00-05,30,2016,1,3,28
2016-01-28 19:00:00-05,30,2016,1,4,29
2016-01-29 19:00:00-05,30,2016,1,5,30
2016-01-30 19:00:00-05,30,2016,1,6,31
2016-01-31 19:00:00-05,31,2016,2,0,1
2016-02-01 19:00:00-05,31,2016,2,1,2
2016-02-02 19:00:00-05,31,2016,2,2,3
2016-02-03 19:00:00-05,31,2016,2,3,4
2016-02-04 19:00:00-05,31,2016,2,4,5
2016-02-05 19:00:00-05,31,2016,2,5,6
2016-02-06 19:00:00-05,31,2016,2,6,7
2016-02-07 19:00:00-05,32,2016,2,0,8
2016-02-08 19:00:00-05,32,2016,2,1,9
2016-02-09 19:00:00-05,32,2016,2,2,10
2016-02-10 19:00:00-05,32,2016,2,3,11
2016-02-11 19:00:00-05,32,2016,2,4,12
2016-02-12 19:00:00-05,32,2016,2,5,13
2016-02-13 19:00:00-05,32,2016,2,6,14
2016-02-14 19:00:00-05,33,2016,2,0,15
2016-02-15 19:00:00-05,33,2016,2,1,16
2016-02-16 19:00:00-05,33,2016,2,2,17
2016-02-17 19:00:00-05,33,2016,2,3,18
2016-02-18 19:00:00-05,33,2016,2,4,19
2016-02-19 19:00:00-05,33,2016,2,5,20
2016-02-20 19:00:00-05,33,2016,2,6,21
2016-02-21 19:00:00-05,34,2016,2,0,22
2016-02-22 19:00:00-05,34,2016,2,1,23
2016-02-23 19:00:00-05,34,2016,2,2,24
2016-02-24 19:00:00-05,34,2016,2,3,25
2016-02-25 19:00:00-05,34,2016,2,4,26
2016-02-26 19:00:00-05,34,2016,2,5,27
2016-02-27 19:00:00-05,34,2016,2,6,28
2016-02-28 19:00:00-05,35,2016,2,0,29
2016-02-29 19:00:00-05,35,2016,3,1,1
2016-03-01 19:00:00-05,35,2016,3,2,2
2016-03-02 19:00:00-05,35,2016,3,3,3
2016-03-03 19:00:00-05,35,2016,3,4,4
2016-03-04 19:00:00-05,35,2016,3,5,5
2016-03-05 19:00:00-05,35,2016,3,6,6
2016-03-06 19:00:00-05,36,2016,3,0,7
2016-03-07 19:00:00-05,36,2016,3,1,8
2016-03-08 19:00:00-05,36,2016,3,2,9
2016-03-09 19:00:00-05,36,2016,3,3,10
2016-03-10 19:00:00-05,36,2016,3,4,11
2016-03-11 19:00:00-05,36,2016,3,5,12
2016-03-12 19:00:00-05,36,2016,3,6,13
2016-03-13 20:00:00-04,37,2016,3,0,14
2016-03-14 20:00:00-04,37,2016,3,1,15
2016-03-15 20:00:00-04,37,2016,3,2,16
2016-03-16 20:00:00-04,37,2016,3,3,17
2016-03-17 20:00:00-04,37,2016,3,4,18
2016-03-18 20:00:00-04,37,2016,3,5,19
2016-03-19 20:00:00-04,37,2016,3,6,20
2016-03-20 20:00:00-04,38,2016,3,0,21
2016-03-21 20:00:00-04,38,2016,3,1,22
2016-03-22 20:00:00-04,38,2016,3,2,23
2016-03-23 20:00:00-04,38,2016,3,3,24
2016-03-24 20:00:00-04,38,2016,3,4,25
2016-03-25 20:00:00-04,38,2016,3,5,26
2016-03-26 20:00:00-04,38,2016,3,6,27
2016-03-27 20:00:00-04,39,2016,3,0,28
2016-03-28 20:00:00-04,39,2016,3,1,29
2016-03-29 20:00:00-04,39,2016,3,2,30
2016-03-30 20:00:00-04,39,2016,3,3,31
2016-03-31 20:00:00-04,39,2016,4,4,1
2016-04-01 20:00:00-04,39,2016,4,5,2
2016-04-02 20:00:00-04,39,2016,4,6,3
2016-04-03 20:00:00-04,40,2016,4,0,4
2016-04-04 20:00:00-04,40,2016,4,1,5
2016-04-05 20:00:00-04,40,2016,4,2,6
2016-04-06 20:00:00-04,40,2016,4,3,7
2016-04-07 20:00:00-04,40,2016,4,4,8
2016-04-08 20:00:00-04,40,2016,4,5,9
2016-04-09 20:00:00-04,40,2016,4,6,10
2016-04-10 20:00:00-04,41,2016,4,0,11
2016-04-11 20:00:00-04,41,2016,4,1,12
2016-04-12 20:00:00-04,41,2016,4,2,13
2016-04-13 20:00:00-04,41,2016,4,3,14
2016-04-14 20:00:00-04,41,2016,4,4,15
2016-04-15 20:00:00-04,41,2016,4,5,16
2016-04-16 20:00:00-04,41,2016,4,6,17
2016-04-17 20:00:00-04,42,2016,4,0,18
2016-04-18 20:00:00-04,42,2016,4,1,19
2016-04-19 20:00:00-04,42,2016,4,2,20
2016-04-20 20:00:00-04,42,2016,4,3,21
2016-04-21 20:00:00-04,42,2016,4,4,22
2016-04-22 20:00:00-04,42,2016,4,5,23
2016-04-23 20:00:00-04,42,2016,4,6,24
2016-04-24 20:00:00-04,43,2016,4,0,25
2016-04-25 20:00:00-04,43,2016,4,1,26
2016-04-26 20:00:00-04,43,2016,4,2,27
2016-04-27 20:00:00-04,43,2016,4,3,28
2016-04-28 20:00:00-04,43,2016,4,4,29
2016-04-29 20:00:00-04,43,2016,4,5,30
2016-04-30 20:00:00-04,43,2016,5,6,1
2016-05-01 20:00:00-04,44,2016,5,0,2
2016-05-02 20:00:00-04,44,2016,5,1,3
2016-05-03 20:00:00-04,44,2016,5,2,4
2016-05-04 20:00:00-04,44,2016,5,3,5
2016-05-05 20:00:00-04,44,2016,5,4,6
2016-05-06 20:00:00-04,44,2016,5,5,7
2016-05-07 20:00:00-04,44,2016,5,6,8
2016-05-08 20:00:00-04,45,2016,5,0,9
2016-05-09 20:00:00-04,45,2016,5,1,10
2016-05-10 20:00:00-04,45,2016,5,2,11
2016-05-11 20:00:00-04,45,2016,5,3,12
2016-05-12 20:00:00-04,45,2016,5,4,13
2016-05-13 20:00:00-04,45,2016,5,5,14
2016-05-14 20:00:00-04,45,2016,5,6,15
2016-05-15 20:00:00-04,46,2016,5,0,16
2016-05-16 20:00:00-04,46,2016,5,1,17
2016-05-17 20:00:00-04,46,2016,5,2,18
2016-05-18 20:00:00-04,46,2016,5,3,19
2016-05-19 20:00:00-04,46,2016,5,4,20
2016-05-20 20:00:00-04,46,2016,5,5,21
2016-05-21 20:00:00-04,46,2016,5,6,22
2016-05-22 20:00:00-04,47,2016,5,0,23
2016-05-23 20:00:00-04,47,2016,5,1,24
2016-05-24 20:00:00-04,47,2016,5,2,25
2016-05-25 20:00:00-04,47,2016,5,3,26
2016-05-26 20:00:00-04,47,2016,5,4,27
2016-05-27 20:00:00-04,47,2016,5,5,28
2016-05-28 20:00:00-04,47,2016,5,6,29
2016-05-29 20:00:00-04,48,2016,5,0,30
2016-05-30 20:00:00-04,48,2016,5,1,31
2016-05-31 20:00:00-04,48,2016,6,2,1
2016-06-01 20:00:00-04,48,2016,6,3,2
2016-06-02 20:00:00-04,48,2016,6,4,3
2016-06-03 20:00:00-04,48,2016,6,5,4
2016-06-04 20:00:00-04,48,2016,6,6,5
2016-06-05 20:00:00-04,49,2016,6,0,6
2016-06-06 20:00:00-04,49,2016,6,1,7
2016-06-07 20:00:00-04,49,2016,6,2,8
2016-06-08 20:00:00-04,49,2016,6,3,9
2016-06-09 20:00:00-04,49,2016,6,4,10
2016-06-10 20:00:00-04,49,2016,6,5,11
2016-06-11 20:00:00-04,49,2016,6,6,12
2016-06-12 20:00:00-04,50,2016,6,0,13
2016-06-13 20:00:00-04,50,2016,6,1,14
2016-06-14 20:00:00-04,50,2016,6,2,15
2016-06-15 20:00:00-04,50,2016,6,3,16
2016-06-16 20:00:00-04,50,2016,6,4,17
2016-06-17 20:00:00-04,50,2016,6,5,18
2016-06-18 20:00:00-04,50,2016,6,6,19
2016-06-19 20:00:00-04,51,2016,6,0,20
2016-06-20 20:00:00-04,51,2016,6,1,21
2016-06-21 20:00:00-04,51,2016,6,2,22
2016-06-22 20:00:00-04,51,2016,6,3,23
2016-06-23 20:00:00-04,51,2016,6,4,24
2016-06-24 20:00:00-04,51,2016,6,5,25
2016-06-25 20:00:00-04,51,2016,6,6,26
2016-06-26 20:00:00-04,52,2016,6,0,27
2016-06-27 20:00:00-04,52,2016,6,1,28
2016-06-28 20:00:00-04,52,2016,6,2,29
2016-06-29 20:00:00-04,52,2016,6,3,30
2016-06-30 20:00:00-04,52,2016,7,4,1
2016-07-01 20:00:00-04,52,2016,7,5,2
2016-07-02 20:00:00-04,52,2016,7,6,3
2016-07-03 20:00:00-04,01,2016,7,0,4
2016-07-04 20:00:00-04,01,2016,7,1,5
2016-07-05 20:00:00-04,01,2016,7,2,6
2016-07-06 20:00:00-04,01,2016,7,3,7
2016-07-07 20:00:00-04,01,2016,7,4,8
2016-07-08 20:00:00-04,01,2016,7,5,9
2016-07-09 20:00:00-04,01,2016,7,6,10
2016-07-10 20:00:00-04,02,2016,7,0,11
2016-07-11 20:00:00-04,02,2016,7,1,12
2016-07-12 20:00:00-04,02,2016,7,2,13
2016-07-13 20:00:00-04,02,2016,7,3,14
2016-07-14 20:00:00-04,02,2016,7,4,15
2016-07-15 20:00:00-04,02,2016,7,5,16
2016-07-16 20:00:00-04,02,2016,7,6,17
2016-07-17 20:00:00-04,03,2016,7,0,18
2016-07-18 20:00:00-04,03,2016,7,1,19
2016-07-19 20:00:00-04,03,2016,7,2,20
2016-07-20 20:00:00-04,03,2016,7,3,21
2016-07-21 20:00:00-04,03,2016,7,4,22
2016-07-22 20:00:00-04,03,2016,7,5,23
2016-07-23 20:00:00-04,03,2016,7,6,24
2016-07-24 20:00:00-04,04,2016,7,0,25
2016-07-25 20:00:00-04,04,2016,7,1,26
2016-07-26 20:00:00-04,04,2016,7,2,27
2016-07-27 20:00:00-04,04,2016,7,3,28
2016-07-28 20:00:00-04,04,2016,7,4,29
2016-07-29 20:00:00-04,04,2016,7,5,30
2016-07-30 20:00:00-04,04,2016,7,6,31
2016-07-31 20:00:00-04,05,2016,8,0,1
2016-08-01 20:00:00-04,05,2016,8,1,2
2016-08-02 20:00:00-04,05,2016,8,2,3
2016-08-03 20:00:00-04,05,2016,8,3,4
2016-08-04 20:00:00-04,05,2016,8,4,5
2016-08-05 20:00:00-04,05,2016,8,5,6
2016-08-06 20:00:00-04,05,2016,8,6,7
2016-08-07 20:00:00-04,06,2016,8,0,8
2016-08-08 20:00:00-04,06,2016,8,1,9
2016-08-09 20:00:00-04,06,2016,8,2,10
2016-08-10 20:00:00-04,06,2016,8,3,11
2016-08-11 20:00:00-04,06,2016,8,4,12
2016-08-12 20:00:00-04,06,2016,8,5,13
2016-08-13 20:00:00-04,06,2016,8,6,14
2016-08-14 20:00:00-04,07,2016,8,0,15
2016-08-15 20:00:00-04,07,2016,8,1,16
2016-08-16 20:00:00-04,07,2016,8,2,17
2016-08-17 20:00:00-04,07,2016,8,3,18
2016-08-18 20:00:00-04,07,2016,8,4,19
2016-08-19 20:00:00-04,07,2016,8,5,20
2016-08-20 20:00:00-04,07,2016,8,6,21
2016-08-21 20:00:00-04,08,2016,8,0,22
2016-08-22 20:00:00-04,08,2016,8,1,23
2016-08-23 20:00:00-04,08,2016,8,2,24
2016-08-24 20:00:00-04,08,2016,8,3,25
2016-08-25 20:00:00-04,08,2016,8,4,26
2016-08-26 20:00:00-04,08,2016,8,5,27
2016-08-27 20:00:00-04,08,2016,8,6,28
2016-08-28 20:00:00-04,09,2016,8,0,29
2016-08-29 20:00:00-04,09,2016,8,1,30
2016-08-30 20:00:00-04,09,2016,8,2,31
2016-08-31 20:00:00-04,09,2016,9,3,1
2016-09-01 20:00:00-04,09,2016,9,4,2
2016-09-02 20:00:00-04,09,2016,9,5,3
2016-09-03 20:00:00-04,09,2016,9,6,4
2016-09-04 20:00:00-04,10,2016,9,0,5
2016-09-05 20:00:00-04,10,2016,9,1,6
2016-09-06 20:00:00-04,10,2016,9,2,7
2016-09-07 20:00:00-04,10,2016,9,3,8
2016-09-08 20:00:00-04,10,2016,9,4,9
2016-09-09 20:00:00-04,10,2016,9,5,10
2016-09-10 20:00:00-04,10,2016,9,6,11
2016-09-11 20:00:00-04,11,2016,9,0,12
2016-09-12 20:00:00-04,11,2016,9,1,13
2016-09-13 20:00:00-04,11,2016,9,2,14
2016-09-14 20:00:00-04,11,2016,9,3,15
2016-09-15 20:00:00-04,11,2016,9,4,16
2016-09-16 20:00:00-04,11,2016,9,5,17
2016-09-17 20:00:00-04,11,2016,9,6,18
2016-09-18 20:00:00-04,12,2016,9,0,19
2016-09-19 20:00:00-04,12,2016,9,1,20
2016-09-20 20:00:00-04,12,2016,9,2,21
2016-09-21 20:00:00-04,12,2016,9,3,22
2016-09-22 20:00:00-04,12,2016,9,4,23
2016-09-23 20:00:00-04,12,2016,9,5,24
2016-09-24 20:00:00-04,12,2016,9,6,25
2016-09-25 20:00:00-04,13,2016,9,0,26
2016-09-26 20:00:00-04,13,2016,9,1,27
2016-09-27 20:00:00-04,13,2016,9,2,28
2016-09-28 20:00:00-04,13,2016,9,3,29
2016-09-29 20:00:00-04,13,2016,9,4,30
2016-09-30 20:00:00-04,13,2016,10,5,1
2016-10-01 20:00:00-04,13,2016,10,6,2
